year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,year_status,annual_total,peak_month,trough_month,peak_arrivals,trough_arrivals,seasonality_ratio,monthly_avg,idx_jan,idx_feb,idx_mar,idx_apr,idx_may,idx_jun,idx_jul,idx_aug,idx_sep,idx_oct,idx_nov,idx_dec,peak_season_share_pct,yoy_jan,yoy_feb,yoy_mar,yoy_apr,yoy_may,yoy_jun,yoy_jul,yoy_aug,yoy_sep,yoy_oct,yoy_nov,yoy_dec
2010,50757.0,57300.0,52352.0,38300.0,35213.0,44730.0,63339.0,55898.0,47339.0,52370.0,72251.0,84627.0,COMPLETE,654476,Dec,May,84627,35213,2.4,54540,93.1,105.1,96.0,70.2,64.6,82.0,116.1,102.5,86.8,96.0,132.5,155.2,48.5,,,,,,,,,,,,
2011,74197.0,65797.0,75130.0,63835.0,48943.0,53636.0,83786.0,72463.0,60219.0,69563.0,90889.0,97517.0,COMPLETE,855975,Dec,May,97517,48943,1.99,71331,104.0,92.2,105.3,89.5,68.6,75.2,117.5,101.6,84.4,97.5,127.4,136.7,47.1,46.2,14.8,43.5,66.7,39.0,19.9,32.3,29.6,27.2,32.8,25.8,15.2
2012,85874.0,83549.0,91102.0,69591.0,57506.0,65245.0,90338.0,79456.0,71111.0,80379.0,109202.0,122252.0,COMPLETE,1005605,Dec,May,122252,57506,2.13,83800,102.5,99.7,108.7,83.0,68.6,77.9,107.8,94.8,84.9,95.9,130.3,145.9,48.9,15.7,27.0,21.3,9.0,17.5,21.6,7.8,9.7,18.1,15.5,20.1,25.4
2013,110543.0,113968.0,113208.0,80737.0,74838.0,90279.0,107016.0,123269.0,90339.0,107058.0,109420.0,153918.0,COMPLETE,1274593,Dec,May,153918,74838,2.06,106216,104.1,107.3,106.6,76.0,70.5,85.0,100.8,116.1,85.1,100.8,103.0,144.9,47.2,28.7,36.4,24.3,16.0,30.1,38.4,18.5,55.1,27.0,33.2,0.2,25.9
2014,146575.0,141878.0,133048.0,112631.0,90046.0,103175.0,133971.0,140319.0,105535.0,121576.0,119727.0,178672.0,COMPLETE,1527153,Dec,May,178672,90046,1.98,127263,115.2,111.5,104.5,88.5,70.8,81.1,105.3,110.3,82.9,95.5,94.1,140.4,47.1,32.6,24.5,17.5,39.5,20.3,14.3,25.2,13.8,16.8,13.6,9.4,16.1
2015,156246.0,165541.0,157051.0,122217.0,113529.0,115467.0,175804.0,166610.0,143374.0,132280.0,144147.0,206114.0,COMPLETE,1798380,Dec,May,206114,113529,1.82,149865,104.3,110.5,104.8,81.6,75.8,77.0,117.3,111.2,95.7,88.3,96.2,137.5,46.1,6.6,16.7,18.0,8.5,26.1,11.9,31.2,18.7,35.9,8.8,20.4,15.4
2016,194280.0,197697.0,192841.0,136367.0,125044.0,118038.0,209351.0,186288.0,148499.0,150419.0,167217.0,224791.0,COMPLETE,2050832,Dec,Jun,224791,118038,1.9,170903,113.7,115.7,112.8,79.8,73.2,69.1,122.5,109.0,86.9,88.0,97.8,131.5,47.6,24.3,19.4,22.8,11.6,10.1,2.2,19.1,11.8,3.6,13.7,16.0,9.1
2017,219360.0,197517.0,188076.0,160249.0,121891.0,123351.0,205482.0,190928.0,145077.0,152429.0,167511.0,244536.0,COMPLETE,2116407,Dec,May,244536,121891,2.01,176367,124.4,112.0,106.6,90.9,69.1,69.9,116.5,108.3,82.3,86.4,95.0,138.7,48.1,12.9,-0.1,-2.5,17.5,-2.5,4.5,-1.8,2.5,-2.3,1.3,0.2,8.8
2018,238924.0,235618.0,233382.0,180429.0,129466.0,146828.0,217829.0,200359.0,149087.0,153123.0,195582.0,253169.0,COMPLETE,2333796,Dec,May,253169,129466,1.96,194483,122.9,121.2,120.0,92.8,66.6,75.5,112.0,103.0,76.7,78.7,100.6,130.2,49.6,8.9,19.3,24.1,12.6,6.2,19.0,6.0,4.9,2.8,0.5,16.8,3.5
2019,231756.0,228549.0,226381.0,81193.0,51786.0,66073.0,108914.0,110197.0,86470.0,99530.0,140819.0,189877.0,EVENT_ESTIMATED,1621545,Jan,May,231756,51786,4.48,135129,171.5,169.1,167.5,60.1,38.3,48.9,80.6,81.5,64.0,73.7,104.2,140.5,62.7,-3.0,-3.0,-3.0,-55.0,-60.0,-55.0,-50.0,-45.0,-42.0,-35.0,-28.0,-25.0
2020,228434.0,207507.0,71370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393.0,PARTIAL,507704,Jan,Apr,228434,0,inf,42309,539.9,490.5,168.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,-1.4,-9.2,-68.5,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-99.8
2021,1682.0,3366.0,4581.0,4168.0,1497.0,1614.0,2429.0,5040.0,13547.0,22771.0,44294.0,89506.0,COMPLETE,194495,Dec,May,89506,1497,59.79,16208,10.4,20.8,28.3,25.7,9.2,10.0,15.0,31.1,83.6,140.5,273.3,552.2,73.7,-99.3,-98.4,-93.6,inf,inf,inf,inf,inf,inf,inf,inf,22675.1
2022,82327.0,96507.0,106500.0,62980.0,30207.0,32856.0,47293.0,37760.0,29802.0,42026.0,97895.0,149929.0,PARTIAL,816082,Dec,Sep,149929,29802,5.03,68007,121.1,141.9,156.6,92.6,44.4,48.3,69.5,55.5,43.8,61.8,143.9,220.5,65.3,4794.6,2767.1,2224.8,1411.0,1917.8,1935.7,1847.0,649.2,120.0,84.6,121.0,67.5
2023,102545.0,107639.0,125495.0,105498.0,83309.0,100388.0,143039.0,136405.0,111938.0,109199.0,151496.0,210352.0,COMPLETE,1487303,Dec,May,210352,83309,2.52,123942,82.7,86.8,101.3,85.1,67.2,81.0,115.4,110.1,90.3,88.1,122.2,169.7,46.9,24.6,11.5,17.8,67.5,175.8,205.5,202.5,261.2,275.6,159.8,54.8,40.3
2024,208253.0,218350.0,209181.0,148867.0,112128.0,113470.0,206615.0,190351.0,150655.0,150639.0,171873.0,237310.0,PARTIAL+IMPUTED,2117692,Dec,May,237310,112128,2.12,176474,118.0,123.7,118.5,84.4,63.5,64.3,117.1,107.9,85.4,85.4,97.4,134.5,49.3,103.1,102.9,66.7,41.1,34.6,13.0,44.4,39.5,34.6,37.9,13.5,12.8
2025,252761.0,240217.0,229298.0,174608.0,132919.0,138241.0,238887.0,220083.0,174186.0,174168.0,198719.0,274377.0,PARTIAL+IMPUTED,2448464,Dec,May,274377,132919,2.06,204039,123.9,117.7,112.4,85.6,65.1,67.8,117.1,107.9,85.4,85.4,97.4,134.5,48.8,21.4,10.0,9.6,17.3,18.5,21.8,15.6,15.6,15.6,15.6,15.6,15.6
